,
Country,World Cup: (1/1/04 - 11/30/22)
Solomon Islands,
North Korea,
Vanuatu,
Timor-Leste,
Nepal,100
Bhutan,
Haiti,
South Sudan,
Comoros,
Seychelles,
Bangladesh,77
Cameroon,
Maldives,
Qatar,73
Liberia,
Guinea,
Togo,
Aruba,
Lebanon,64
Equatorial Guinea,
Congo - Kinshasa,
Argentina,62
Benin,
Eritrea,
Cuba,
Jamaica,
Sierra Leone,
Suriname,
Central African Republic,
Curaçao,
Congo - Brazzaville,
Guinea-Bissau,
Senegal,
Gambia,
Panama,58
Uruguay,58
Caribbean Netherlands,
Guatemala,56
Mali,
Uganda,
Côte d’Ivoire,
Trinidad & Tobago,
Burkina Faso,
Chad,
São Tomé & Príncipe,
Bermuda,
Kiribati,
Mozambique,
Burundi,
Djibouti,
Mauritania,
Cayman Islands,
Gabon,
Madagascar,
Niger,
Zimbabwe,
Malawi,
Honduras,49
Cape Verde,
Malta,
Syria,47
Guyana,
Belize,
Oman,47
Falkland Islands (Islas Malvinas),
Bolivia,47
Namibia,
Vietnam,47
El Salvador,47
Nicaragua,
French Guiana,
St. Barthélemy,
Mauritius,
Ecuador,45
United Arab Emirates,45
Ghana,45
Costa Rica,45
Sudan,
Paraguay,45
Bahrain,
Eswatini,
Kenya,43
Fiji,
Jordan,43
Libya,
Botswana,
Colombia,41
Papua New Guinea,
Zambia,
Brunei,
Gibraltar,
Sint Maarten,
Palestine,
Indonesia,41
Lesotho,
Brazil,41
Laos,
Ethiopia,
Tajikistan,
Algeria,39
Western Sahara,
Luxembourg,
Peru,39
St. Martin,
Switzerland,39
Turkmenistan,
Somalia,
Egypt,39
Barbados,
Angola,
St. Lucia,
Tunisia,37
Rwanda,
Tanzania,
Liechtenstein,
Singapore,35
Mayotte,
Germany,35
Malaysia,35
Yemen,
Svalbard & Jan Mayen,
Grenada,
Andorra,
Turks & Caicos Islands,
Kuwait,33
Nigeria,33
Venezuela,33
Morocco,33
St. Vincent & Grenadines,
Macao,
Antigua & Barbuda,
Chile,32
Monaco,
Belgium,32
Mexico,30
Iraq,30
French Polynesia,
Pakistan,30
Austria,30
Saudi Arabia,30
Guadeloupe,
San Marino,
Ireland,28
Réunion,
Hong Kong,28
France,28
St. Kitts & Nevis,
Kyrgyzstan,
Netherlands,28
Sri Lanka,28
Afghanistan,
Cook Islands,
Portugal,28
South Africa,28
Dominica,
Jersey,
Faroe Islands,
United Kingdom,26
Åland Islands,
Sweden,26
Spain,26
Guernsey,
Martinique,
St. Helena,
New Caledonia,
Italy,26
Israel,24
Myanmar (Burma),
Iran,24
Thailand,24
Montserrat,
Cambodia,
Cyprus,
Tonga,
Kazakhstan,22
St. Pierre & Miquelon,
India,22
Isle of Man,
Anguilla,
Uzbekistan,
Greenland,
Iceland,
Croatia,20
Denmark,20
Taiwan,20
New Zealand,20
Australia,20
Canada,20
Norway,18
Samoa,
South Korea,18
Poland,18
British Virgin Islands,
Montenegro,
Nauru,
Mongolia,
Bosnia & Herzegovina,
Serbia,16
Greece,16
Bulgaria,16
Hungary,16
North Macedonia,
Albania,
Russia,15
Moldova,
Belarus,15
Armenia,
Dominican Republic,
Puerto Rico,
Romania,15
Kosovo,
United States,13
China,13
Estonia,
Georgia,
Slovenia,
U.S. Virgin Islands,
Ukraine,13
Finland,13
Japan,11
Azerbaijan,
Bahamas,
Palau,
Northern Mariana Islands,
Slovakia,
Latvia,
Turkey,9
Lithuania,
American Samoa,
Czechia,7
Guam,
Marshall Islands,
Micronesia,
Philippines,3
French Southern Territories,
Tuvalu,
Christmas Island,
British Indian Ocean Territory,
Antarctica,
Bouvet Island,
Cocos (Keeling) Islands,
Heard & McDonald Islands,
Norfolk Island,
Niue,
Pitcairn Islands,
South Georgia & South Sandwich Islands,
Tokelau,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,